date,city,sessions,distance_min,nearest_catchment
2015-05-18,Edinburgh,1,0,Edinburgh
2015-05-19,Edinburgh,20,0,Edinburgh
2015-05-20,Edinburgh,1,0,Edinburgh
2015-05-21,Edinburgh,1,0,Edinburgh
2015-05-22,Edinburgh,1,0,Edinburgh
2015-05-23,Edinburgh,1,0,Edinburgh
2015-05-25,Edinburgh,9,0,Edinburgh
2015-05-26,Edinburgh,1,0,Edinburgh
2015-05-27,Edinburgh,1,0,Edinburgh
2015-05-28,Edinburgh,1,0,Edinburgh
2015-05-29,Edinburgh,11,0,Edinburgh
2015-05-31,Edinburgh,3,0,Edinburgh
2015-06-01,Edinburgh,2,0,Edinburgh
2015-06-02,Edinburgh,3,0,Edinburgh
2015-06-03,(not set),1,NA,None
2015-06-03,Aberdeen,1,134.9610941129702,Inverness
2015-06-03,Dundee,1,58.00485956754018,Edinburgh
2015-06-03,Dunfermline,2,20.781363337615833,Edinburgh
2015-06-03,Edinburgh,1,0,Edinburgh
2015-06-03,Fort William,1,90.66072608494825,Inverness
2015-06-03,Glasgow,5,0,Glasgow
2015-06-03,Inverness,1,0,Inverness
2015-06-04,(not set),3,NA,None
2015-06-04,Aberdeen,2,134.9610941129702,Inverness
2015-06-04,Alloa,1,39.45209599527032,Glasgow
2015-06-04,Ayr,1,50.56608868124958,Glasgow
2015-06-04,Barrhead,2,11.633820363921416,Glasgow
2015-06-04,Coatbridge,1,14.184237386972894,Glasgow
2015-06-04,Cumbernauld,2,18.22158449586674,Glasgow
2015-06-04,Dundee,1,58.00485956754018,Edinburgh
2015-06-04,Dunfermline,2,20.781363337615833,Edinburgh
2015-06-04,East Kilbride,4,11.980684316014154,Glasgow
2015-06-04,Edinburgh,1,0,Edinburgh
2015-06-04,Falkirk,1,32.376876157220735,Glasgow
2015-06-04,Glasgow,2,0,Glasgow
2015-06-04,Kirkcaldy,2,18.241758497743476,Edinburgh
2015-06-04,Livingston,2,20.947914616973165,Edinburgh
2015-06-04,Musselburgh,2,8.295480680466948,Edinburgh
2015-06-04,Paisley,1,11.638474491959835,Glasgow
2015-06-04,Perth,2,51.21163422446162,Edinburgh
2015-06-04,Rosyth,1,17.042051486836776,Edinburgh
2015-06-04,Stirling,1,33.95995682123335,Glasgow
2015-06-05,(not set),4,NA,None
2015-06-05,Aberdeen,1,134.9610941129702,Inverness
2015-06-05,Coatbridge,3,14.184237386972894,Glasgow
2015-06-05,Dunfermline,2,20.781363337615833,Edinburgh
2015-06-05,Edinburgh,3,0,Edinburgh
2015-06-05,Glasgow,2,0,Glasgow
2015-06-05,Livingston,1,20.947914616973165,Edinburgh
2015-06-05,Paisley,2,11.638474491959835,Glasgow
2015-06-05,Perth,2,51.21163422446162,Edinburgh
2015-06-06,(not set),1,NA,None
2015-06-06,Aberdeen,1,134.9610941129702,Inverness
2015-06-06,Ayr,2,50.56608868124958,Glasgow
2015-06-06,Dundee,3,58.00485956754018,Edinburgh
2015-06-06,Dunfermline,1,20.781363337615833,Edinburgh
2015-06-06,Eaglesham,1,13.908280528159823,Glasgow
2015-06-06,Edinburgh,3,0,Edinburgh
2015-06-06,Falkirk,1,32.376876157220735,Glasgow
2015-06-06,Glasgow,2,0,Glasgow
